trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.5, 'e': 0.9026106653961321}",20,0,-112.4369894475203,"{0: 8, 1: 2, 2: 8, 3: 2, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9004471023526769}",20,0,-63.89479704876012,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.8982610281785611}",25,0,-25.50021918582594,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.8960524975255252}",20,0,-123.17371592083045,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.8938215656067205}",20,0,-160.97550641035542,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.891568288195329}",30,0,-62.333382469629186,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.8892927216231682}",25,0,-57.732699151659574,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,0,24.067550938976268,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.8846749491085283}",20,0,-49.9385534693935,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.8823328586101215}",20,0,-70.3452396120117,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.8799687098362042}",20,7,-40.7092107752803,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-141.3933348595756,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.8751744744262013}",20,6,-63.91324280650903,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.8727445076457513}",25,0,-181.04755913032832,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.8702927222980654}",30,10,-144.94788796188448,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",1
105,False,"{'a': 0.5, 'e': 0.8678191796776499}",20,0,-85.46622871249092,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.8653239416229412}",20,0,-108.87796505376046,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.862807070514761}",20,0,-126.3289364387585,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.8602686292747557}",20,0,-131.28208763342184,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
109,False,"{'a': 0.5, 'e': 0.8577086813638242}",25,0,-105.70344112227936,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.8551272907805307}",20,12,-51.63707284095024,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.8525245220595057}",25,0,0.21022196902768342,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.8499004402698315}",30,0,-143.11578244629098,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.8472551110134161}",25,0,-114.70623862091053,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.8445886004233532}",30,5,-102.59607660272933,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.8419009751622687}",25,13,-65.0993425222973,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.8391923024206541}",20,14,9.35979684913475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.8364626499151869}",25,15,-7.665678796203045,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.8337120858870376}",25,0,-168.2681615358317,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.8309406791001636}",20,0,-113.10550034362248,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.8281484988395901}",20,0,-99.64035871404204,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.8253356149096783}",25,0,-212.102468390976,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
122,False,"{'a': 0.5, 'e': 0.82250209763238}",20,0,-228.50570838289715,"{0: 10, 1: 2, 2: 1, 3: 3, 4: 4}",0
123,False,"{'a': 0.5, 'e': 0.8196480178454795}",30,0,-99.7428760249527,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.8167734469008229}",30,4,-46.88703190382876,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.8138784566625339}",25,12,-49.87863073452929,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.8109631195052179}",35,8,-141.3171823869071,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 2}",1
127,False,"{'a': 0.5, 'e': 0.8080275083121519}",20,0,-51.5098805456317,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.8050716964734628}",20,0,-146.3258816307756,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
129,False,"{'a': 0.5, 'e': 0.8020957578842927}",30,0,-137.30213810153907,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.7990997669429512}",35,0,-133.31629933388362,"{0: 23, 1: 3, 2: 7, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.7960837985490558}",35,0,-171.25375671208957,"{0: 24, 1: 5, 2: 2, 3: 0, 4: 4}",0
132,False,"{'a': 0.5, 'e': 0.7930479281016595}",20,0,-94.83550838390053,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.7899922314973651}",20,0,-7.45531004248176,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.7869167851284287}",20,0,-94.00046094704895,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.7838216658808492}",20,3,-36.197959484347976,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.7807069511324468}",20,6,-90.8985740882089,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.7775727187509279}",20,0,-58.785849768194,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.7744190470919388}",20,9,-77.59464141375787,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.7712460149971065}",20,0,-14.444567746231161,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
